name,ra,dec,morph_type,distance,distance_error,num_glob_clust_limit,num_glob_clust,num_glob_clust_error
NGC 4673,12.75963,27.06077,E,101.9, 7.10,,  750.0,  290.0
NGC 7768,23.84961,27.14734,E,112.1, 7.90,, 3000.0, 1300.0
NGC 4839,12.95677,27.4976,E,109.1, 7.60,, 6500.0, 2000.0
NGC 4840,12.95911,27.61027,E, 90.80, 6.40,, 1290.0,  620.0
NGC 4926,13.0316,27.62443,E/S0,116.5, 8.20,, 1300.0,  300.0
NGC 4816,12.9367,27.74543,E/S0,102.7, 7.20,, 6100.0, 1400.0
IC 3959,12.98561,27.78422,E,105.1, 7.40,,  880.0,  330.0
IC 3976,12.99149,27.85034,E,101.9, 7.10,,  920.0,  250.0
NGC 4874,12.99324,27.95934,E/cD,106.4, 7.50,,20000, 2000.0
NGC 3414,10.85449,27.97483,S0, 25.23, 4.14,,  400.0,  200.0
NGC 4889,13.00224,27.97703,E4, 96.60, 6.80,,11000, 2000.0
NGC 4886,13.00124,27.9875,E, 95.10, 6.70,, 1220.0,  480.0
IC 4041,13.01135,27.99649,E,105.4, 7.40,,  470.0,  160.0
IC 4051,13.01513,28.00747,E,129.4, 9.10,, 6700.0,  530.0
IC 4021,13.0041,28.04131,E, 85.80, 6.00,,  160.0,  159.0
IC 4026,13.00614,28.04699,S0,120.9, 8.50,,  650.0,  190.0
PGC 44560,12.98719,28.0764,E/S0,115.6, 8.10,, 2150.0,  650.0
IC 4012,13.00221,28.07863,E,107.7, 7.50,,  620.0,  410.0
IC 4045,13.01352,28.09079,E,103, 7.20,, 1100.0,  510.0
NGC 4881,12.99939,28.24643,E,100.1, 7.00,,  295.0,   89.0
NGC 3550,11.17736,28.76771,S0,152.7,10.7,, 6600.0, 1650.0
NGC 784,2.02139,28.83724,SBdm,  5.45, 0.50,,    6.0,    2.0
NGC 4278,12.33522,29.28064,E, 16.07, 1.55,, 1100.0,  300.0
NGC 6086,16.20988,29.48448,E,137.3, 9.60,, 9200.0, 2500.0
UGC 7369,12.32743,29.88308,dSph, 11.60, 1.00,,   22.0,    7.0
NGC 7457,23.01665,30.14489,S0, 13.24, 1.34,,  160.0,   50.0
NGC 4150,12.17602,30.40157,S0, 13.74, 1.61,,    7.0,    4.0
NGC 598,1.56414,30.65993,Scd,  0.82, 0.04,,   50.0,   20.0
UGC 1281,1.82566,32.58622,Sdm,  5.13, 0.50,,    2.0,    2.0
NGC 4203,12.25139,33.19722,E/S0, 15.14, 1.31,,  175.0,  100.0
NGC 2683,8.87811,33.4211,Sb,  7.73, 1.39,,  120.0,   40.0
NGC 2832,9.32966,33.74957,E2,102.8, 7.20,, 4400.0, 1000.0
NGC 7331,22.61782,34.41562,Sbc, 15.07, 0.71,,  210.0,  130.0
NGC 2778,9.20678,35.02742,E, 22.91, 3.39,,   50.0,   30.0
A2124 1,15.74972,36.10944,E,284.2,19.9,,17900, 4700.0
NGC 708,1.87959,36.15195,E, 47.07, 2.86,, 4700.0, 1000.0
NGC 4163,12.20256,36.16935,Irr,  2.91, 0.04,,    2.0,    2.0
NGC 5557,14.30712,36.49387,E1, 38.93, 8.00,, 3500.0, 1000.0
NGC 1023A,2.67714,39.05752,dIrr, 11.43, 1.00,,    5.7,    2.5
NGC 1023,2.67333,39.06325,SB0, 11.43, 1.00,,  490.0,   30.0
NGC 6166,16.47731,39.55136,E/cD,130.4, 9.10,,17000, 4000.0
NGC 6173,16.49581,40.81157,E,125.8, 8.80,, 4600.0, 2600.0
NGC 221,0.71161,40.86517,E2,  0.76, 0.07,,    0.0,    1.0
NGC 6160,16.46139,40.92606,E,136.4, 9.60,, 4560.0, 1080.0
NGC 224,0.71232,41.26888,Sb,  0.77, 0.02,,  450.0,  100.0
NGC 1275,3.33007,41.51155,Ep, 72.90, 3.65,, 7800.0, 2500.0
NGC 205,0.6728,41.68538,E5,  0.80, 0.04,,   11.0,    3.0
NGC 910,2.42412,41.82439,E, 71.40, 5.00,, 4245.0, 1100.0
DDO 52,8.47457,41.85661,Im, 10.40, 1.00,,    2.0,    2.0
NGC 891,2.37598,42.34712,Sb,  8.36, 0.56,,   70.0,   20.0
NGC 4013,11.97538,43.94676,Sb, 17.74, 1.60,,  190.0,   40.0
NGC 4449,12.46973,44.09303,IB,  4.13, 0.21,,   12.0,    5.0
NGC 6703,18.78856,45.55053,E/S0, 26.67, 3.81,,  610.0,  200.0
NGC 5194,13.49797,47.19515,Sbc,  7.62, 0.43,,  220.0,   45.0
NGC 185,0.64937,48.3374,E3,  0.63, 0.01,,    8.0,    1.0
NGC 147,0.55333,48.5086,E5,  0.76, 0.10,,   10.0,    2.0
NGC 2329,7.15223,48.61562,E/S0, 84.00, 5.90,, 2120.0,  780.0
IC 712,11.58036,49.07776,E,146.6,10.3,, 3470.0,  910.0
NGC 3870,11.76572,50.19986,S0, 13.60, 1.00,,   13.0,    5.0
NGC 4157,12.18455,50.4849,SABb, 15.43, 3.10,,   80.0,   20.0
NGC 5457,14.0535,54.34906,SABc,  6.89, 0.39,,  150.0,   40.0
NGC 3073,10.01446,55.61892,E/S0, 33.73,18.03,,  130.0,   20.0
NGC 3556,11.19193,55.67415,SBc, 12.42, 0.90,,  290.0,   80.0
NGC 5866,15.10821,55.7633,S0-a, 15.35, 0.87,,  370.0,   70.0
NGC 5907,15.2649,56.32891,SABc, 13.22, 2.63,,  170.0,   65.0
UGC 4289,8.26247,58.32084,E,117.9, 8.30,, 2690.0,  740.0
NGC 3610,11.30702,58.78622,E5, 35.10, 4.00,,  400.0,  150.0
NGC 5982,15.64438,59.35589,E3, 41.47, 2.70,, 1497.0,  202.0
NGC 2768,9.19374,60.03725,E, 22.39, 2.62,,  720.0,  240.0
NGC 6946,20.58127,60.15377,SABc,  6.08, 0.62,,   90.0,   40.0
NGC 5322,13.82089,60.19039,E3, 31.19, 3.48,, 1600.0,  500.0
NGC 4605,12.6665,61.60903,SBd,  5.47, 0.50,,   22.0,    7.0
UGCA 92,4.53431,63.61611,Im,  3.01, 0.30,,    2.0,    2.0
NGC 3259,10.54302,65.0411,SABb, 25.70, 1.80,,   29.0,   16.0
KKH 77,12.23567,66.09469,I,  5.42, 0.50,,    2.0,    2.0
UGCA 86,3.99736,67.14361,Im,  2.96, 0.30,,   11.0,    4.0
