#Table1
oh_p50,sfr_tot_p50
-9999,-1.790712
-9999,-1.85839
-9999,-9999
-9999,-0.56534
-9999,0.3566094
-9999,-9999
-9999,-4.213071
-9999,-1.790261
-9999,-0.9853647
-9999,-9999
-9999,-0.5644954
-9999,-4.205373
